Food_Name,Ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
Chowmein,"Noodles, cabbage, chicken, egg, carrot, soy sauce, garlic",vegetarian,15,20,savory,main course,West Bengal,East
Fried Rice,"Rice, vegetables, soy sauce, spring onion",vegetarian,10,20,savory,main course,West Bengal,East
Chilli Chicken Style,"Chicken pieces, chicken, tomato, green chilies, soy sauce, onion",non vegetarian,15,25,spicy,starter,West Bengal,East
Burger,"Burger bun, chicken, tomato, butter, cheese, patty, lettuce, mayonnaise",vegetarian,20,20,savory,main course,West Bengal,East
Pizza,"Pizza base, chicken, tomato, cheese, mozzarella, tomato sauce, toppings",vegetarian,30,25,savory,main course,West Bengal,East
French Fries,"Potatoes, oil, salt",vegetarian,10,15,savory,snack,West Bengal,East
Momos Fried,"Momo wrappers, chicken, cheese, vegetable filling, oil",vegetarian,30,20,spicy,snack,West Bengal,East
Momos Steamed,"Momo wrappers, chicken, vegetable filling, spices",vegetarian,30,15,savory,snack,West Bengal,East
Drums of Heaven,"Chicken wings, batter, chicken, chili sauce",non vegetarian,20,30,spicy,starter,West Bengal,East
Chicken Popcorn,"Chicken bites, bread crumbs, chicken, spices",non vegetarian,20,20,savory,snack,West Bengal,East
Grilled Sandwich,"Bread, chicken, tomato, butter, cheese, vegetables, cheese",vegetarian,10,15,savory,snack,West Bengal,East
Potato Chips,"Potatoes, vegetable oil, salt",vegetarian,-1,-1,savory,snack,West Bengal,East
Popcorn,"Corn kernels, butter, salt",vegetarian,5,5,savory,snack,West Bengal,East
Cup Noodles,"Wheat noodles, dehydrated vegetables, seasoning",vegetarian,2,5,savory,snack,West Bengal,East
Chocolate Bar,"Cocoa, sugar, milk solids, milk, cocoa butter",vegetarian,-1,-1,sweet,snack,West Bengal,East
Soft Drink,"Carbonated water, sugar, flavoring",vegetarian,-1,-1,sweet,beverage,West Bengal,East
Tea Biscuit,"Refined flour, sugar, milk, vegetable oil",vegetarian,-1,-1,sweet,snack,West Bengal,East
Oats Cereal,"Oats, salt",vegetarian,-1,-1,savory,breakfast,West Bengal,East
Cake,"Refined flour, sugar, butter, egg",vegetarian,-1,-1,sweet,dessert,West Bengal,East
Omelette,"Eggs, egg, onion, green chilies, salt",non vegetarian,5,10,savory,breakfast,West Bengal,East
Ghugni,"Yellow peas, onion, ginger, garam masala",vegetarian,20,40,spicy,snack,West Bengal,East
Chocolate Cake,"Flour, cocoa powder, sugar, egg, butter, milk, baking powder, vanilla essence",vegetarian,15,45,sweet,dessert,West Bengal,East
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,West Bengal,East
Kadai Chicken,"chicken, onion, tomato, garam masala, cooking oil",non-vegetarian,-1,-1,spicy,main course,North India,North
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North
